cluster_id,candidate_family,product_count,collections,vendor,variant_signature,price_signature,option_signature,sku_pattern,media_pattern,active_products,structural_confidence,unknowns,representative_product_ids,required_validation
C18,Backpacks three-variant signature,88,Bags,BestPrintsCo,3,60.00,"Style | Size",PP.#,1 image,1,medium,"Only one active product; archival status; exact size/style meaning","gid://shopify/Product/6831314665552 | gid://shopify/Product/6842040254544 | gid://shopify/Product/6842040320080","Confirm archival purpose and supplier size/style mapping"
C19,Shower curtains,84,"All Home Products | Shower Curtains",BestPrintsCo,1,49.95,(none),PP.#,2 images,84,high,"Exact dimensions; material; included hardware","gid://shopify/Product/6827363139664 | gid://shopify/Product/6827363369040 | gid://shopify/Product/6827364974672","Verify exact PillowProfits family and included components"
C20,SPOD kids T-shirts,83,"KIDS CLOTHING | KIDS T-SHIRTS",SPOD,30,19.95,"Color | Size",SPOD product-specific stems,6 images,83,high,"Exact garment model; fabric; age/size claims","gid://shopify/Product/6827281449040 | gid://shopify/Product/6827281875024 | gid://shopify/Product/6827282071632","Verify SPOD garment source and option/SKU map"
C21,Hoodie dresses 49.95 signature,78,"HOODIES | WOMENS HOODIE DRESSES",BestPrintsCo,8,49.95,(not captured),PP.#,5 images,78,high,"Exact size map; material; relationship to C25","gid://shopify/Product/6837789491280 | gid://shopify/Product/6837789622352 | gid://shopify/Product/6837789687888","Verify supplier family and compare variant/options with C25"
C22,Blankets three-variant signature,76,"All Home Products | Blankets",BestPrintsCo,3,"37.95 | 42.95 | 44.95",(not captured),PP.#,5-8 images,76,high,"Exact sizes; material; construction","gid://shopify/Product/6827361042512 | gid://shopify/Product/6827396890704 | gid://shopify/Product/6827397054544","Verify PillowProfits family and three-size mapping"
C23,Sarongs,76,SARONGS,BestPrintsCo,1,34.95,(none),PP.#,5 images,76,high,"Exact dimensions; material; care","gid://shopify/Product/6827370250320 | gid://shopify/Product/6840927748176 | gid://shopify/Product/6840927780944","Verify supplier family and specifications"
C24,Wall tapestries three-variant signature,70,"All Home Products | Wall Tapestry",BestPrintsCo,3,39.95,(not captured),PP.#,4 images,70,high,"Exact sizes; material; hanging method","gid://shopify/Product/6827361108048 | gid://shopify/Product/6827363336272 | gid://shopify/Product/6827363401808","Verify supplier family and three-size mapping"
C25,Hoodie dresses 59.95 signature,67,"HOODIES | WOMENS HOODIE DRESSES",BestPrintsCo,8,59.95,"Style | Size",PP.#,5-6 images,67,high,"Relationship to C21; exact option and material differences","gid://shopify/Product/6827968757840 | gid://shopify/Product/6827968790608 | gid://shopify/Product/6827968823376","Verify supplier family and compare exact variant map with C21"
C26,SPOD adult T-shirts 30-variant signature,62,T-SHIRTS,SPOD,30,24.95,"Color | Size",SPOD product-specific stems,5 images,62,high,"Exact garment difference from C08; fabric and fit","gid://shopify/Product/6827293179984 | gid://shopify/Product/6827293245520 | gid://shopify/Product/6827293278288","Verify SPOD garment source and distinguish model from C08"
C27,Nineteen-variant lace-up boots,60,"Vegan Leather Boots | Women Boots",BestPrintsCo,19,65.00,"Style | Size",PP.#,3-5 images,13,medium,"Most products inactive; exact relation to C04/C06; material and size map","gid://shopify/Product/6643903594576 | gid://shopify/Product/6827843518544 | gid://shopify/Product/6827843649616","Split active/inactive records; supplier-source match; compare SKU and size maps"
C28,Pops women's high-top shoes,59,"High Top Shoes | Pops | Shoes - Sneakers",pops,18,55.00,"color | size",mixed alphanumeric stems,18 images,59,high,"Exact supplier model; relation to C14; material and size map","gid://shopify/Product/6706333188176 | gid://shopify/Product/6706849382480 | gid://shopify/Product/6709997633616","Verify Pops source and keep separate from PP SKU families"
C29,Slippers 39.95 signature,59,Slippers & Flip Flops,BestPrintsCo,10,39.95,(not captured),PP.#,4 images,59,high,"Exact base model; relation to archived C16; size map","gid://shopify/Product/6828923682896 | gid://shopify/Product/6828923715664 | gid://shopify/Product/6828923748432","Verify supplier family and compare exact variant map with C16"
C30,Casual slip-on shoes,58,Casual Slip-Ons Shoes,BestPrintsCo,8,49.95,(not captured),PP.#,1-5 images,58,high,"Exact base model; material; audience and size map","gid://shopify/Product/6840911036496 | gid://shopify/Product/6840911102032 | gid://shopify/Product/6840911200336","Verify supplier family and eight-variant size map"
